359, 603, 268, 599
355, 604, 267, 596
356, 604, 268, 595
357, 604, 269, 597
350, 604, 269, 597
362, 603, 269, 599
361, 603, 268, 598
362, 602, 268, 597
366, 603, 268, 599
366, 603, 270, 596
366, 602, 269, 596
368, 598, 270, 594
384, 593, 278, 590
395, 590, 284, 591
404, 589, 289, 593
408, 589, 290, 592
409, 589, 296, 590
407, 589, 293, 591
405, 590, 288, 592
401, 592, 286, 593
397, 593, 283, 595
393, 594, 277, 598
392, 595, 276, 598
384, 598, 266, 604
380, 599, 262, 606
363, 604, 248, 614
348, 610, 235, 622
339, 611, 229, 624
332, 613, 221, 627
324, 618, 214, 630
318, 623, 207, 635
312, 626, 197, 639
308, 628, 192, 644
306, 628, 192, 644
307, 630, 196, 642
303, 631, 192, 648
303, 631, 196, 642
310, 629, 195, 644
321, 630, 197, 647
358, 615, 221, 629
385, 607, 246, 621
411, 598, 270, 610
421, 594, 278, 607
434, 591, 290, 603
447, 593, 300, 601
452, 591, 306, 599
461, 593, 315, 598
468, 593, 319, 598
474, 591, 326, 594
478, 592, 330, 594
482, 592, 333, 594
488, 588, 339, 589
493, 585, 345, 584
493, 583, 347, 581
496, 581, 349, 577
499, 578, 350, 574
501, 578, 354, 573
504, 577, 357, 572
509, 577, 362, 571
509, 577, 362, 571
510, 578, 362, 572
509, 578, 362, 572
508, 578, 361, 571
506, 577, 360, 572
505, 578, 359, 573
504, 579, 357, 574
502, 578, 355, 574
500, 578, 354, 574
500, 579, 354, 575
500, 579, 353, 576
499, 579, 352, 576
497, 583, 351, 580
493, 587, 348, 585
484, 595, 340, 596
474, 604, 332, 606
470, 607, 329, 608
467, 609, 327, 609
466, 610, 328, 610
465, 610, 325, 609
449, 614, 314, 615
436, 616, 305, 617
433, 620, 270, 597
421, 622, 289, 593
410, 630, 288, 611
401, 625, 271, 608
416, 584, 269, 601
371, 577, 261, 609
384, 574, 257, 606
412, 578, 254, 604
407, 587, 250, 601
376, 613, 246, 605
378, 602, 246, 604
387, 605, 234, 610
351, 600, 253, 605
1483, 442, 1380, 447
1478, 445, 1380, 449
1482, 445, 1381, 449
1482, 445, 1379, 450
1483, 446, 1379, 450
1482, 445, 1381, 450
1484, 444, 1382, 447
1487, 445, 1384, 448
1490, 446, 1386, 449
1487, 445, 1385, 447
1486, 444, 1384, 447
1486, 444, 1384, 447
1486, 442, 1384, 446
1486, 444, 1382, 446
1485, 442, 1383, 445
1485, 442, 1383, 445
1486, 441, 1383, 446
1485, 443, 1383, 445
1487, 442, 1382, 446
1490, 442, 1384, 446
1493, 442, 1385, 445
1493, 443, 1387, 445
1492, 443, 1387, 444
1495, 443, 1388, 445
1498, 441, 1386, 445
1499, 441, 1387, 445
1501, 441, 1388, 445
1500, 441, 1388, 444
1501, 441, 1389, 444
1501, 442, 1388, 444
1502, 440, 1388, 445
1502, 441, 1387, 445
1502, 440, 1388, 445
1503, 441, 1390, 445
1502, 440, 1390, 445
1502, 440, 1389, 445
1503, 440, 1390, 445
1503, 439, 1390, 445
1504, 439, 1389, 443
1505, 438, 1390, 443
1504, 438, 1391, 442
1507, 437, 1394, 442
1508, 436, 1396, 442
1509, 436, 1395, 440
1511, 435, 1396, 440
1516, 435, 1399, 438
1516, 435, 1400, 440
1518, 435, 1401, 439
1517, 434, 1401, 438
1516, 435, 1401, 438
1515, 434, 1400, 439
1515, 434, 1400, 438
1514, 433, 1400, 437
1517, 433, 1400, 436
1520, 432, 1402, 436
1527, 433, 1409, 438
1544, 433, 1416, 439
1557, 432, 1425, 437
1570, 431, 1435, 435
1588, 431, 1447, 436
1601, 430, 1460, 434
1612, 427, 1471, 432
1624, 425, 1483, 430
1635, 423, 1494, 427
1646, 422, 1504, 424
1656, 421, 1514, 422
1665, 418, 1523, 419
1672, 415, 1531, 416
1679, 413, 1537, 414
1684, 410, 1544, 410
1689, 406, 1549, 406
1692, 400, 1554, 401
1695, 396, 1559, 397
1699, 393, 1563, 393
1701, 390, 1566, 390
1703, 387, 1568, 388
1705, 386, 1570, 387
1706, 385, 1572, 386
1707, 384, 1574, 385
1708, 384, 1575, 385
1708, 384, 1576, 385
1708, 384, 1577, 385
1707, 383, 1577, 385
1707, 382, 1578, 385
1706, 382, 1578, 384
1706, 382, 1579, 384
1706, 381, 1581, 385
1707, 380, 1581, 384
1707, 377, 1581, 381
1707, 375, 1581, 379
1708, 373, 1583, 377
1708, 373, 1584, 377
1708, 372, 1584, 377
1709, 372, 1585, 377
1709, 374, 1586, 378
1705, 377, 1584, 381
1703, 377, 1581, 382
1701, 379, 1579, 383
1698, 380, 1577, 384
1695, 382, 1574, 386
1692, 383, 1570, 387
1689, 384, 1566, 389
1685, 384, 1561, 391
